Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
1/23/21 18:14,267,5.34,0.02
1/23/21 18:17,268,5.36,0.02
1/23/21 18:19,269,5.38,0.02
1/23/21 18:25,270,5.4,0.02
1/23/21 18:29,271,5.42,0.02
1/23/21 18:34,272,5.44,0.02
1/23/21 18:50,273,5.46,0.02
1/23/21 19:33,274,5.48,0.02
1/24/21 0:46,275,5.5,0.02
1/24/21 1:37,276,5.52,0.02
1/24/21 16:58,277,5.54,0.02
1/24/21 17:00,278,5.56,0.02
1/24/21 17:02,279,5.58,0.02
1/24/21 17:05,280,5.6,0.02
1/24/21 17:07,281,5.62,0.02
1/24/21 17:08,282,5.64,0.02
1/24/21 17:09,283,5.66,0.02
1/24/21 17:10,284,5.68,0.02
1/24/21 17:12,285,5.7,0.02
1/24/21 17:13,286,5.72,0.02
1/24/21 17:14,287,5.74,0.02
1/24/21 17:24,288,5.76,0.02
1/24/21 19:33,289,5.78,0.02
1/24/21 19:46,290,5.8,0.02
1/24/21 20:17,291,5.82,0.02
1/24/21 20:18,292,5.84,0.02
1/24/21 20:19,293,5.86,0.02
1/24/21 20:20,294,5.88,0.02
1/24/21 20:21,295,5.9,0.02
1/24/21 20:27,296,5.92,0.02
1/24/21 20:33,297,5.94,0.02
1/24/21 20:34,298,5.96,0.02
1/24/21 20:38,299,5.98,0.02
1/24/21 20:38,300,6,0.02
1/24/21 20:39,301,6.02,0.02
1/24/21 20:39,302,6.04,0.02
1/24/21 20:40,303,6.06,0.02
1/24/21 20:40,304,6.08,0.02
1/24/21 20:41,305,6.1,0.02
1/24/21 20:41,306,6.12,0.02
1/24/21 20:42,307,6.14,0.02
1/24/21 20:43,308,6.16,0.02
1/24/21 20:44,309,6.18,0.02
1/24/21 20:45,310,6.2,0.02
1/24/21 20:46,311,6.22,0.02
1/24/21 20:47,312,6.24,0.02
1/24/21 20:56,313,6.26,0.02
1/24/21 20:57,314,6.28,0.02
1/24/21 21:00,315,6.3,0.02
1/24/21 21:42,316,6.32,0.02
1/24/21 22:15,317,6.34,0.02
1/24/21 22:21,318,6.36,0.02
1/24/21 22:28,319,6.38,0.02
1/24/21 22:57,320,6.4,0.02
1/24/21 23:43,321,6.42,0.02
1/25/21 0:02,322,6.44,0.02
1/25/21 0:32,323,6.46,0.02
1/25/21 0:34,324,6.48,0.02
1/25/21 0:44,325,6.5,0.02
1/25/21 0:55,326,6.52,0.02
1/25/21 0:59,327,6.54,0.02
1/25/21 1:01,328,6.56,0.02
1/25/21 1:06,329,6.58,0.02
1/25/21 1:11,330,6.6,0.02
1/25/21 1:13,331,6.62,0.02
1/25/21 1:15,332,6.64,0.02
1/25/21 1:19,333,6.66,0.02
1/25/21 1:25,334,6.68,0.02
1/25/21 2:19,335,6.7,0.02
1/25/21 2:40,336,6.72,0.02
1/25/21 2:48,337,6.74,0.02
1/25/21 2:54,338,6.76,0.02
1/25/21 2:58,339,6.78,0.02
1/25/21 3:00,340,6.8,0.02
1/25/21 3:02,341,6.82,0.02
1/25/21 3:04,342,6.84,0.02
1/25/21 3:08,343,6.86,0.02
1/25/21 3:11,344,6.88,0.02
1/25/21 3:15,345,6.9,0.02
1/25/21 3:18,346,6.92,0.02
1/25/21 3:20,347,6.94,0.02
1/25/21 3:21,348,6.96,0.02
1/25/21 3:22,349,6.98,0.02
1/25/21 3:23,350,7,0.02
1/25/21 3:25,351,7.02,0.02
1/25/21 3:26,352,7.04,0.02
1/25/21 3:27,353,7.06,0.02
1/25/21 3:28,354,7.08,0.02
1/25/21 3:30,355,7.1,0.02
1/25/21 3:32,356,7.12,0.02
1/25/21 3:35,357,7.14,0.02
1/25/21 3:39,358,7.16,0.02
1/25/21 3:47,359,7.18,0.02
1/25/21 3:54,360,7.2,0.02
1/25/21 4:12,361,7.22,0.02
1/25/21 5:41,362,7.24,0.02
1/25/21 8:09,363,7.26,0.02
1/25/21 8:35,364,7.28,0.02
1/25/21 8:37,365,7.3,0.02
1/25/21 8:41,366,7.32,0.02
1/25/21 8:45,367,7.34,0.02
1/25/21 8:49,368,7.36,0.02
1/25/21 8:56,369,7.38,0.02
1/25/21 9:02,370,7.4,0.02
1/25/21 9:06,371,7.42,0.02
1/25/21 9:14,372,7.44,0.02
1/25/21 9:23,373,7.46,0.02
1/25/21 9:33,374,7.48,0.02
1/28/21 20:16,375,7.5,0.02
1/28/21 20:18,376,7.52,0.02
1/28/21 20:20,377,7.54,0.02
1/28/21 20:22,378,7.56,0.02
1/28/21 20:24,379,7.58,0.02
1/28/21 20:26,380,7.6,0.02
1/28/21 20:27,381,7.62,0.02
1/28/21 20:29,382,7.64,0.02
1/28/21 20:30,383,7.66,0.02
1/28/21 20:31,384,7.68,0.02
1/28/21 20:32,385,7.7,0.02
1/28/21 20:33,386,7.72,0.02
1/28/21 20:33,387,7.74,0.02
1/28/21 20:35,388,7.76,0.02
1/28/21 20:36,389,7.78,0.02
